Sum of electronic and zero-point Energies=          -1872.364496
Sum of electronic and thermal Energies=             -1872.335272
Sum of electronic and thermal Enthalpies=           -1872.334328
Sum of electronic and thermal Free Energies=        -1872.434777

Wiberg:
  0.0012   0.0004   0.0001   0.0001   0.0001   0.0001   0.0012   0.0000   0.0000   0.0000   0.0017   0.0018   0.0000   1.1216   1.1546   1.1450   0.6888   0.0292   0.0296   0.0299   0.0019   0.0013   0.0003   0.0002   0.0000   0.0001   0.0000   0.0000   0.0000   0.0000   0.0007   0.0008   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000 
  0.0015   0.0012   0.0010   0.0002   0.0002   0.0002   0.0004   0.0000   0.0001   0.0001   0.0208   0.0328   1.1216   0.0000   0.1181   0.1181   0.0911   0.0043   0.0044   0.0169   0.0203   0.0100   0.0008   0.0005   0.0004   0.0003   0.0005   0.0001   0.0001   0.0000   0.0010   0.0011   0.0001   0.0001   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000 
  0.0008   0.0004   0.0002   0.0001   0.0001   0.0002   0.0006   0.0000   0.0000   0.0000   0.0032   0.0050   1.1546   0.1181   0.0000   0.1232   0.0942   0.0042   0.0169   0.0050   0.0049   0.0049   0.0021   0.0011   0.0005   0.0002   0.0001   0.0003   0.0001   0.0000   0.0075   0.0108   0.0001   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000 
  0.0109   0.0023   0.0005   0.0002   0.0004   0.0013   0.0204   0.0001   0.0000   0.0003   0.0046   0.0046   1.1450   0.1181   0.1232   0.0000   0.0896   0.0163   0.0047   0.0046   0.0025   0.0014   0.0004   0.0002   0.0001   0.0000   0.0001   0.0000   0.0000   0.0000   0.0004   0.0004   0.0000   0.0001   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000 
  0.0014   0.0004   0.0000   0.0000   0.0001   0.0001   0.0011   0.0000   0.0000   0.0000   0.0007   0.0005   0.6888   0.0911   0.0942   0.0896   0.0000   0.8437   0.8710   0.8827   0.0007   0.0006   0.0003   0.0001   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0005   0.0006   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000 
  0.0003   0.0001   0.0000   0.0000   0.0000   0.0000   0.0002   0.0000   0.0000   0.0000   0.0001   0.0001   0.0292   0.0043   0.0042   0.0163   0.8437   0.0000   0.0473   0.0484   0.0003   0.0007   0.0010   0.0002   0.0001   0.0001   0.0000   0.0001   0.0000   0.0000   0.0012   0.0017   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000 
  0.0001   0.0003   0.0000   0.0000   0.0000   0.0000   0.0002   0.0000   0.0000   0.0000   0.0006   0.0015   0.0296   0.0044   0.0169   0.0047   0.8710   0.0473   0.0000   0.0493   0.0001   0.0001   0.0001   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0002   0.0003   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000 
  0.0001   0.0001   0.0000   0.0000   0.0000   0.0000   0.0001   0.0000   0.0000   0.0000   0.0001   0.0001   0.0299   0.0169   0.0050   0.0046   0.8827   0.0484   0.0493   0.0000   0.0001   0.0001   0.0001   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0001   0.0003   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000 
  0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0019   0.0203   0.0049   0.0025   0.0007   0.0003   0.0001   0.0001   0.0000   0.8589   0.0054   0.0072   0.0070   0.0086   0.0025   0.0004   0.0007   0.0003   0.0013   0.0004   0.0003   0.0000   0.0000   0.0000   0.0000   0.0000   0.0004   0.0000   0.0000   0.0000 
  0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0001   0.0001   0.0013   0.0100   0.0049   0.0014   0.0006   0.0007   0.0001   0.0001   0.8589   0.0000   1.2451   1.5367   0.0331   0.0281   0.0055   0.0644   0.0081   0.0005   0.0150   0.0548   0.0272   0.0000   0.0000   0.0000   0.0000   0.0000   0.0017   0.0008   0.0001   0.0008 
